contract,method,totalExecutionTime
compute,InitContract,0.000000
compute,Upgrade,0.000000
compute,bigNumCal,1.426959
compute,hashCal,0.437988
compute,normalCal,0.578558
erc721,InitContract,0.000000
erc721,Upgrade,0.000000
erc721,approve,0.000000
erc721,balanceOf,0.350165
erc721,getAccountTokens,0.000000
erc721,getApproved,0.347597
erc721,getGasRemaining,0.339481
erc721,getTokenLatestTxInfo,0.000000
erc721,mint,0.342463
erc721,mint2,0.363326
erc721,name,0.000000
erc721,ownerOf,0.000000
erc721,setApprovalForAll2,0.337314
erc721,symbol,0.000000
erc721,testgasJSONMarshal,0.372189
erc721,testgasJSONUnmarshal,0.295006
erc721,tokenMetadata,0.000000
erc721,tokenURI,0.315045
erc721,transferFrom,0.332187
exchange,InitContract,0.000000
exchange,Upgrade,0.000000
exchange,buyNow,0.000000
fact,findByFileHash,0.329602
fact,initContract,0.000000
fact,save,0.000000
fact,saveAndFindByFileHash,0.332941
fact,upgrade,0.315444
identity,InitContract,0.000000
identity,Upgrade,0.000000
identity,addWriteList,0.553326
identity,address,0.000000
identity,alterAdminAddress,0.000000
identity,callerAddress,0.000000
identity,isApprovedUser,0.582075
identity,removeWriteList,0.360910
itinerary,InitContract,0.000000
itinerary,Upgrade,0.000000
itinerary,queryHistory,0.000000
itinerary,save,0.000000
itinerary,saveAndQueryHistory,0.000000
raffle,Errorf,0.000000
raffle,InitContract,0.000000
raffle,ParseInt,0.000000
raffle,Sprintf,0.000000
raffle,Upgrade,0.000000
raffle,bigNumCal,0.314246
raffle,formatInt,0.312058
raffle,hashCal,0.380569
raffle,jsonMarshal,0.314772
raffle,jsonUnmarshal,0.299935
raffle,nolib,0.303695
raffle,normalCal,0.322553
raffle,query,0.340565
raffle,raffle,0.000000
raffle,registRaffle,0.404412
raffle,registerAll,0.000000
raffle,stringsJoin,0.318558
raffle,testgasWarmUp,0.480680
